Test unit,test 3
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-9.79,-44.2,-0.653
-9.93,-44.8,-0.662
-10.07,-44.8,-0.671
-10.21,-45.5,-0.681
-10.35,-45.5,-0.69
-10.49,-46.1,-0.7
-10.64,-46.7,-0.709
-10.78,-46.7,-0.718
-10.92,-47.3,-0.728
-11.06,-47.3,-0.737
-11.2,-47.3,-0.747
-11.34,-48,-0.756
-11.48,-48,-0.765
-11.62,-48.6,-0.775
-11.76,-48.6,-0.784
-11.9,-49.2,-0.794
-12.04,-49.2,-0.803
-12.19,-49.8,-0.812
-12.33,-49.8,-0.822
-12.47,-49.8,-0.831
-12.61,-50.5,-0.84
-12.75,-51.1,-0.85
-12.89,-51.1,-0.859
-13.03,-51.7,-0.869
-13.17,-52.4,-0.878
-13.31,-53,-0.887
-13.45,-53,-0.897
-13.59,-53.6,-0.906
-13.74,-54.2,-0.916
-13.88,-54.9,-0.925
-14.02,-54.9,-0.934
-14.16,-55.5,-0.944
-14.3,-56.1,-0.953
-14.44,-56.7,-0.962
-14.58,-57.4,-0.972
-14.72,-57.4,-0.981
-14.86,-58,-0.991
-15,-58.6,-1
-15.14,-59.3,-1.009
-15.28,-59.9,-1.019
-15.42,-59.9,-1.028
-15.57,-60.5,-1.038
-15.71,-61.1,-1.047
-15.85,-61.8,-1.056
-15.99,-61.8,-1.066
-16.13,-62.4,-1.075
-16.27,-63,-1.085
-16.41,-63.6,-1.094
-16.55,-64.3,-1.103
-16.69,-64.3,-1.113
-16.83,-64.9,-1.122
-16.97,-65.5,-1.131
-17.11,-66.1,-1.141
-17.25,-66.8,-1.15
-17.39,-67.4,-1.16
-17.54,-67.4,-1.169
-17.82,-68.7,-1.188
-17.68,-68.7,-1.179
-17.82,-68.7,-1.188
-17.96,-69.3,-1.197
-18.1,-69.9,-1.207
-18.24,-70.5,-1.216
-18.38,-71.2,-1.225
-18.52,-71.8,-1.235
-18.66,-72.4,-1.244
-18.8,-73,-1.254
-18.94,-73.7,-1.263
-19.08,-74.3,-1.272
-19.23,-74.9,-1.282
-19.37,-75.5,-1.291
-19.51,-76.2,-1.301
-19.79,-77.4,-1.319
-19.79,-78.1,-1.319
-20.07,-79.3,-1.338
-20.07,-79.9,-1.338
-20.35,-81.2,-1.357
-20.35,-82.4,-1.357
-20.49,-83.1,-1.366
-20.64,-83.7,-1.376
-20.92,-85,-1.394
-20.78,-85,-1.385
-20.92,-85,-1.394
-21.06,-85.6,-1.404
-21.2,-86.2,-1.413
-21.34,-86.8,-1.423
-21.48,-86.8,-1.432
-21.62,-87.5,-1.442
-21.76,-87.5,-1.451
-21.9,-88.1,-1.46
-22.04,-88.1,-1.47
-22.19,-88.7,-1.479
-22.33,-88.7,-1.488
-22.47,-88.7,-1.498
-22.61,-89.3,-1.507
-22.75,-89.3,-1.516
-22.89,-90,-1.526
-23.03,-90,-1.535
-23.17,-90,-1.545
-23.31,-90,-1.554
-23.45,-90,-1.564
-23.59,-88.7,-1.573
-23.59,-87.5,-1.573
-23.74,-86.8,-1.582
-24.02,-88.1,-1.601
-23.88,-88.1,-1.592
-24.02,-88.1,-1.601
-24.16,-88.7,-1.61
-24.3,-88.7,-1.62
-24.44,-88.7,-1.629
-24.58,-88.7,-1.639
-24.72,-89.3,-1.648
-24.86,-88.7,-1.657
-24.86,-82.4,-1.657
-24.72,-80.6,-1.648
-24.72,-78.7,-1.648
-24.58,-77.4,-1.639
-24.44,-76.2,-1.629
-24.44,-74.9,-1.629
-24.3,-74.3,-1.62
-24.3,-73.7,-1.62
-24.16,-73,-1.61
-24.16,-72.4,-1.61
-24.02,-71.8,-1.601
-24.02,-71.2,-1.601
-23.88,-70.5,-1.592
-23.88,-69.9,-1.592
-23.59,-68.7,-1.573
-23.59,-68,-1.573
-23.45,-67.4,-1.564
-23.45,-66.8,-1.564
-23.31,-66.1,-1.554
-23.17,-65.5,-1.545
-23.03,-64.9,-1.535
-23.03,-64.3,-1.535
-22.89,-63.6,-1.526
-22.75,-63,-1.516
-22.47,-61.8,-1.498
-22.47,-61.1,-1.498
-22.33,-60.5,-1.488
-22.19,-59.9,-1.479
-22.04,-59.3,-1.47
-21.9,-58.6,-1.46
-21.76,-58,-1.451
-21.62,-57.4,-1.442
-21.48,-56.7,-1.432
-21.34,-56.1,-1.423
-21.2,-55.5,-1.413
-21.06,-54.9,-1.404
-20.78,-53.6,-1.385
-20.78,-53,-1.385
-20.64,-52.4,-1.376
-20.49,-51.7,-1.366
-20.35,-51.1,-1.357
-20.07,-49.8,-1.338
-20.07,-49.2,-1.338
-19.93,-48.6,-1.329
-19.79,-48,-1.319
-19.65,-47.3,-1.31
-19.51,-46.7,-1.301
-19.23,-45.5,-1.282
-19.37,-45.5,-1.291
-19.23,-45.5,-1.282
-19.08,-44.8,-1.272
-18.8,-43.6,-1.254
-18.94,-43.6,-1.263
-18.8,-43.6,-1.254
-18.66,-42.9,-1.244
-18.52,-42.3,-1.235
-18.38,-41.7,-1.225
-18.24,-41.1,-1.216
-18.1,-40.4,-1.207
-17.96,-39.8,-1.197
-17.82,-39.8,-1.188
-17.54,-38.6,-1.169
-17.68,-38.6,-1.179
-17.54,-38.6,-1.169
-17.39,-37.9,-1.16
-17.25,-37.3,-1.15
-17.11,-36.7,-1.141
-16.97,-36,-1.131
-16.83,-35.4,-1.122
-16.69,-35.4,-1.113
-16.55,-34.8,-1.103
-16.41,-34.2,-1.094
-16.27,-33.5,-1.085
-16.13,-32.9,-1.075
-15.99,-32.9,-1.066
-15.85,-32.3,-1.056
-15.71,-31.7,-1.047
-15.57,-31,-1.038
-15.42,-31,-1.028
-15.28,-30.4,-1.019
-15.14,-29.8,-1.009
-15,-29.8,-1
-14.86,-29.2,-0.991
-14.72,-28.5,-0.981
-14.58,-28.5,-0.972
-14.44,-27.9,-0.962
-14.3,-27.9,-0.953
-14.16,-27.3,-0.944
-14.02,-27.3,-0.934
-13.88,-26.7,-0.925
-13.74,-26.7,-0.916
-13.59,-26,-0.906
-13.45,-26,-0.897
-13.31,-25.4,-0.887
-13.17,-25.4,-0.878
-13.03,-24.8,-0.869
-12.89,-24.8,-0.859
-12.75,-24.1,-0.85
-12.61,-24.1,-0.84
-12.47,-23.5,-0.831
-12.33,-22.9,-0.822
-12.19,-22.9,-0.812
-12.04,-22.3,-0.803
-11.9,-21.6,-0.794
-11.76,-21.6,-0.784
-11.62,-21,-0.775
-11.48,-20.4,-0.765
-11.34,-20.4,-0.756
-11.2,-19.8,-0.747
-11.06,-19.8,-0.737
-10.92,-19.1,-0.728
-10.78,-18.5,-0.718
-10.64,-18.5,-0.709
-10.49,-17.9,-0.7
-10.35,-17.9,-0.69
-10.21,-17.2,-0.681
-10.07,-16.6,-0.671
-9.93,-16.6,-0.662
-9.79,-16,-0.653
-9.65,-16,-0.643
-9.51,-15.4,-0.634
-9.37,-15.4,-0.624
-9.23,-14.7,-0.615
-9.08,-14.7,-0.606
-8.94,-14.1,-0.596
-8.8,-14.1,-0.587
-8.66,-13.5,-0.578
-8.52,-12.9,-0.568
-8.38,-12.9,-0.559
-8.24,-12.2,-0.549
-8.1,-12.2,-0.54
-7.96,-11.6,-0.531
-7.82,-11.6,-0.521
-7.68,-11,-0.512
-7.53,-10.3,-0.502
-7.39,-10.3,-0.493
-7.25,-9.7,-0.484
-7.11,-9.1,-0.474
-6.97,-9.1,-0.465
-6.83,-8.5,-0.455
-6.69,-7.8,-0.446
-6.55,-7.8,-0.437
-6.41,-7.2,-0.427
-6.27,-6.6,-0.418
-6.13,-6.6,-0.409
-5.99,-6,-0.399
-5.85,-5.3,-0.39
-5.7,-4.7,-0.38
-5.56,-4.7,-0.371
-5.42,-4.1,-0.361
-5.28,-3.4,-0.352
-5.14,-3.4,-0.343
-5,-2.8,-0.333
-4.86,-2.2,-0.324
-4.72,-1.6,-0.315
-4.58,-1.6,-0.305
-4.44,-0.9,-0.296
-4.3,-0.3,-0.286
-4.16,-0.3,-0.277
NaN,NaN,NaN
-4.16,0.3,-0.277
-4.02,0.3,-0.268
-3.88,0.9,-0.258
-3.73,1.6,-0.249
-3.59,2.2,-0.239
-3.45,2.2,-0.23
-3.31,2.8,-0.221
-3.17,3.4,-0.211
-3.03,3.4,-0.202
-2.89,4.1,-0.192
-2.75,4.7,-0.183
-2.61,4.7,-0.174
-2.47,5.3,-0.164
-2.33,6,-0.155
-2.19,6.6,-0.146
-2.04,6.6,-0.136
-1.9,7.2,-0.127
-1.76,7.8,-0.117
-1.62,8.5,-0.108
-1.48,8.5,-0.099
-1.34,9.1,-0.089
-1.2,9.7,-0.08
-1.06,9.7,-0.07
-0.92,10.3,-0.061
-0.78,11,-0.052
-0.64,11.6,-0.042
-0.49,12.2,-0.033
-0.35,12.2,-0.024
-0.21,12.8,-0.014
-0.07,13.5,-0.005
0.07,13.5,0.005
0.21,14.1,0.014
0.35,14.7,0.023
0.49,14.7,0.033
0.63,15.4,0.042
0.77,16,0.052
0.92,16,0.061
1.06,16.6,0.07
1.2,17.2,0.08
1.34,17.2,0.089
1.48,17.9,0.099
1.62,18.5,0.108
1.76,18.5,0.117
1.9,19.1,0.127
2.04,19.1,0.136
2.18,19.7,0.146
2.32,20.4,0.155
2.47,20.4,0.164
2.61,20.4,0.174
2.75,21,0.183
2.89,21.6,0.192
3.03,21.6,0.202
3.17,22.3,0.211
3.31,22.3,0.221
3.45,22.9,0.23
3.59,22.9,0.239
3.73,23.5,0.249
3.87,23.5,0.258
4.02,24.1,0.268
4.16,24.1,0.277
4.3,24.8,0.286
4.44,25.4,0.296
4.58,25.4,0.305
4.72,26,0.315
4.86,26,0.324
5,26.6,0.333
5.14,26.6,0.343
5.28,27.3,0.352
5.42,27.3,0.361
5.56,27.9,0.371
5.7,27.9,0.38
5.84,28.5,0.39
5.99,28.5,0.399
6.13,29.2,0.409
6.27,29.2,0.418
6.41,29.8,0.427
6.55,29.8,0.437
6.69,30.4,0.446
6.83,30.4,0.455
6.97,31,0.465
7.11,31,0.474
7.25,31.7,0.484
7.39,31.7,0.493
7.53,32.3,0.502
7.67,32.3,0.512
7.81,32.3,0.521
7.96,32.9,0.531
8.1,32.9,0.54
8.24,33.5,0.549
8.38,33.5,0.559
8.52,34.2,0.568
8.66,34.2,0.578
8.8,34.2,0.587
8.94,34.8,0.596
9.08,34.8,0.606
9.22,34.8,0.615
9.36,35.4,0.624
9.51,35.4,0.634
9.65,35.4,0.643
9.79,36,0.652
9.93,36,0.662
10.07,36,0.671
10.21,36.7,0.681
10.35,36.7,0.69
10.49,36.7,0.7
10.63,37.3,0.709
10.77,37.3,0.718
10.92,37.3,0.728
11.06,37.9,0.737
11.2,37.9,0.746
11.34,38.5,0.756
11.48,38.5,0.765
11.62,38.5,0.775
11.76,39.2,0.784
11.9,39.2,0.794
12.04,39.2,0.803
12.18,39.8,0.812
12.32,39.8,0.822
12.47,39.8,0.831
12.61,40.4,0.84
12.75,40.4,0.85
12.89,41.1,0.859
13.03,41.1,0.869
13.17,41.7,0.878
13.31,41.7,0.887
13.45,41.7,0.897
13.59,42.3,0.906
13.73,42.9,0.916
13.87,42.9,0.925
14.02,43.6,0.934
14.16,43.6,0.944
14.3,44.2,0.953
14.44,44.8,0.962
14.58,44.8,0.972
14.72,45.4,0.981
14.86,46.1,0.991
15,46.7,1
15.14,46.7,1.009
15.28,47.3,1.019
15.42,48,1.028
15.56,48,1.038
15.71,48.6,1.047
15.85,49.2,1.056
15.99,49.8,1.066
16.13,49.8,1.075
16.27,50.5,1.085
16.41,51.1,1.094
16.55,51.1,1.103
16.69,51.7,1.113
16.83,52.3,1.122
16.97,53,1.131
17.11,53,1.141
17.25,53.6,1.15
17.39,54.2,1.16
17.53,54.9,1.169
17.68,55.5,1.179
17.82,56.1,1.188
17.96,56.7,1.197
18.1,56.7,1.207
18.24,57.4,1.216
18.38,58,1.225
18.52,58.6,1.235
18.66,58.6,1.244
18.8,59.2,1.253
18.94,59.9,1.263
19.08,60.5,1.272
19.22,60.5,1.282
19.36,61.1,1.291
19.51,61.8,1.3
19.65,62.4,1.31
19.79,62.4,1.319
19.93,63,1.329
20.07,63.6,1.338
20.21,63.6,1.348
20.35,64.3,1.357
20.49,64.9,1.366
20.63,64.9,1.376
20.77,65.5,1.385
20.92,66.1,1.394
21.06,66.1,1.404
21.2,66.8,1.413
21.34,67.4,1.422
21.48,67.4,1.432
21.62,68,1.442
21.76,68.7,1.451
21.9,68.7,1.46
22.04,69.3,1.47
22.18,69.9,1.479
22.32,69.9,1.488
22.47,70.5,1.498
22.61,71.2,1.507
22.75,71.2,1.516
22.89,71.8,1.526
23.03,72.4,1.535
23.17,72.4,1.545
23.31,73,1.554
23.45,73.7,1.564
23.59,74.3,1.573
23.73,74.3,1.582
23.87,74.9,1.592
24.02,75.5,1.601
24.16,75.5,1.61
24.3,76.2,1.62
24.44,76.8,1.629
24.58,77.4,1.639
24.72,78,1.648
24.86,78.7,1.657
25,78,1.667
25,76.2,1.667
24.86,74.3,1.657
24.86,71.2,1.657
24.72,69.9,1.648
24.72,68.7,1.648
24.58,67.4,1.639
24.58,66.8,1.639
24.44,65.5,1.629
24.44,64.9,1.629
24.3,63.6,1.62
24.3,62.4,1.62
24.16,61.8,1.61
24.16,61.1,1.61
24.02,60.5,1.601
24.02,59.9,1.601
23.87,59.2,1.592
23.87,58.6,1.592
23.73,58,1.582
23.73,56.7,1.582
23.45,55.5,1.564
23.45,54.9,1.564
23.17,53.6,1.545
23.17,52.3,1.545
23.03,51.7,1.535
22.89,51.1,1.526
22.61,49.8,1.507
22.61,49.2,1.507
22.47,48.6,1.498
22.32,48,1.488
22.18,47.3,1.479
22.04,46.7,1.47
21.9,46.1,1.46
21.76,45.4,1.451
21.62,44.8,1.442
21.48,44.2,1.432
21.34,43.6,1.422
21.2,43.6,1.413
20.92,42.3,1.394
21.06,42.3,1.404
20.92,42.3,1.394
20.77,41.7,1.385
20.63,41.1,1.376
20.49,40.4,1.366
20.35,39.8,1.357
20.21,39.2,1.348
20.07,39.2,1.338
19.93,38.5,1.329
19.79,37.9,1.319
19.65,37.3,1.31
19.51,36.7,1.3
19.36,36,1.291
19.22,36,1.282
19.08,35.4,1.272
18.94,34.8,1.263
18.8,34.2,1.253
18.66,33.5,1.244
18.52,32.9,1.235
18.38,32.9,1.225
18.24,32.3,1.216
18.1,31.7,1.207
17.96,31,1.197
17.82,30.4,1.188
17.68,30.4,1.179
17.53,29.8,1.169
17.39,29.2,1.16
17.25,29.2,1.15
17.11,28.5,1.141
16.97,27.9,1.131
16.83,27.9,1.122
16.69,27.3,1.113
16.55,26.6,1.103
16.41,26.6,1.094
16.27,26,1.085
16.13,25.4,1.075
15.99,25.4,1.066
15.85,24.8,1.056
15.71,24.1,1.047
15.56,24.1,1.038
15.42,23.5,1.028
15.28,23.5,1.019
15.14,22.9,1.009
15,22.9,1
14.86,22.9,0.991
14.72,22.3,0.981
14.58,21.6,0.972
14.44,21.6,0.962
14.3,21.6,0.953
14.16,21,0.944
14.02,20.4,0.934
13.87,20.4,0.925
13.73,19.7,0.916
13.59,19.7,0.906
13.45,19.1,0.897
13.31,19.1,0.887
13.17,18.5,0.878
13.03,18.5,0.869
12.89,17.9,0.859
12.75,17.9,0.85
12.61,17.2,0.84
12.47,17.2,0.831
12.32,16.6,0.822
12.18,16.6,0.812
12.04,16,0.803
11.9,16,0.794
11.76,15.4,0.784
11.62,15.4,0.775
11.48,14.7,0.765
11.34,14.7,0.756
11.2,14.1,0.746
11.06,14.1,0.737
10.92,13.5,0.728
10.77,13.5,0.718
10.63,12.8,0.709
10.49,12.8,0.7
10.35,12.2,0.69
10.21,12.2,0.681
10.07,11.6,0.671
9.93,11.6,0.662
9.79,11,0.652
9.65,11,0.643
9.51,10.3,0.634
9.36,9.7,0.624
9.22,9.7,0.615
9.08,9.7,0.606
8.94,9.1,0.596
8.8,8.5,0.587
8.66,8.5,0.578
8.52,7.8,0.568
8.38,7.2,0.559
8.24,7.2,0.549
8.1,6.6,0.54
7.96,6,0.531
7.81,6,0.521
7.67,5.3,0.512
7.53,4.7,0.502
7.39,4.7,0.493
7.25,4.1,0.484
7.11,3.4,0.474
6.97,2.8,0.465
6.83,2.8,0.455
6.69,2.2,0.446
6.55,1.6,0.437
6.41,1.6,0.427
6.27,0.9,0.418
6.13,0.3,0.409
5.99,0.3,0.399
5.84,-0.3,0.39
5.7,-0.9,0.38
5.56,-1.6,0.371
5.42,-2.2,0.361
5.28,-2.2,0.352
5.14,-2.8,0.343
5,-3.4,0.333
4.86,-4.1,0.324
4.72,-4.1,0.315
4.58,-4.7,0.305
4.44,-5.3,0.296
4.3,-6,0.286
4.16,-6.6,0.277
4.02,-6.6,0.268
3.87,-7.2,0.258
3.73,-7.8,0.249
3.59,-7.8,0.239
3.45,-8.5,0.23
3.31,-9.1,0.221
3.17,-9.1,0.211
3.03,-9.7,0.202
2.89,-10.3,0.192
2.75,-10.3,0.183
2.61,-11,0.174
2.47,-11.6,0.164
2.32,-11.6,0.155
2.18,-12.2,0.146
2.04,-12.9,0.136
1.9,-12.9,0.127
1.76,-13.5,0.117
1.62,-14.1,0.108
1.48,-14.1,0.099
1.34,-14.7,0.089
1.2,-15.4,0.08
1.06,-16,0.07
0.92,-16,0.061
0.77,-16.6,0.052
0.63,-17.2,0.042
0.49,-17.2,0.033
0.35,-17.9,0.023
0.21,-18.5,0.014
0.07,-18.5,0.005
-0.07,-19.1,-0.005
-0.21,-19.8,-0.014
-0.35,-19.8,-0.024
-0.49,-20.4,-0.033
-0.64,-20.4,-0.042
-0.78,-21,-0.052
-0.92,-21,-0.061
-1.06,-21.6,-0.07
-1.2,-21.6,-0.08
-1.34,-22.3,-0.089
-1.48,-22.9,-0.099
-1.62,-22.9,-0.108
-1.76,-22.9,-0.117
-1.9,-23.5,-0.127
-2.04,-23.5,-0.136
-2.19,-24.1,-0.146
-2.33,-24.1,-0.155
-2.47,-24.8,-0.164
-2.61,-24.8,-0.174
-2.75,-25.4,-0.183
-2.89,-25.4,-0.192
-3.03,-25.4,-0.202
-3.17,-26,-0.211
-3.31,-26,-0.221
-3.45,-26.7,-0.23
-3.59,-26.7,-0.239
-3.73,-27.3,-0.249
-3.88,-27.9,-0.258
-4.02,-27.9,-0.268
-4.16,-27.9,-0.277
-4.3,-28.5,-0.286
-4.44,-28.5,-0.296
-4.58,-29.2,-0.305
-4.72,-29.2,-0.315
-4.86,-29.8,-0.324
-5,-29.8,-0.333
-5.14,-30.4,-0.343
-5.28,-30.4,-0.352
-5.42,-31,-0.361
-5.56,-31,-0.371
-5.7,-31.7,-0.38
-5.85,-31.7,-0.39
-5.99,-32.3,-0.399
-6.13,-32.3,-0.409
-6.27,-32.9,-0.418
-6.41,-32.9,-0.427
-6.55,-33.5,-0.437
-6.69,-33.5,-0.446
-6.83,-34.2,-0.455
-6.97,-34.2,-0.465
-7.11,-34.8,-0.474
-7.25,-34.8,-0.484
-7.39,-34.8,-0.493
-7.53,-35.4,-0.502
-7.68,-35.4,-0.512
-7.82,-36,-0.521
-7.96,-36,-0.531
-8.1,-36,-0.54
-8.24,-36.7,-0.549
-8.38,-36.7,-0.559
-8.52,-36.7,-0.568
-8.66,-37.3,-0.578
-8.8,-37.3,-0.587
-8.94,-37.9,-0.596
-9.08,-37.9,-0.606
-9.23,-37.9,-0.615
-9.37,-38.6,-0.624
-9.51,-38.6,-0.634
-9.65,-39.2,-0.643
-9.79,-39.2,-0.653
-9.93,-39.2,-0.662
-10.07,-39.8,-0.671
-10.21,-39.8,-0.681
-10.35,-40.4,-0.69
-10.49,-40.4,-0.7
-10.64,-41.1,-0.709
-10.78,-41.1,-0.718
-10.92,-41.7,-0.728
-11.06,-41.7,-0.737
-11.2,-42.3,-0.747
-11.34,-42.9,-0.756
-11.48,-42.9,-0.765
-11.62,-43.6,-0.775
-11.76,-43.6,-0.784
-11.9,-44.2,-0.794
-12.04,-44.2,-0.803
-12.19,-44.8,-0.812
-12.33,-44.8,-0.822
-12.47,-45.5,-0.831
-12.61,-45.5,-0.84
-12.75,-46.1,-0.85
-12.89,-46.1,-0.859
-13.03,-46.1,-0.869
-13.17,-46.7,-0.878
-13.31,-46.7,-0.887
-13.45,-47.3,-0.897
-13.59,-47.3,-0.906
-13.74,-47.3,-0.916
-13.88,-48,-0.925
-14.02,-48,-0.934
-14.16,-48.6,-0.944
-14.3,-48.6,-0.953
-14.44,-49.2,-0.962
-14.58,-49.2,-0.972
-14.72,-49.8,-0.981
-14.86,-49.8,-0.991
-15,-50.5,-1
-15.14,-51.1,-1.009
-15.28,-51.1,-1.019
-15.42,-51.7,-1.028
-15.57,-52.4,-1.038
-15.71,-52.4,-1.047
-15.85,-53,-1.056
-15.99,-53.6,-1.066
-16.13,-54.2,-1.075
-16.27,-54.2,-1.085
-16.41,-54.9,-1.094
-16.55,-54.9,-1.103
-16.69,-55.5,-1.113
-16.83,-56.1,-1.122
-16.97,-56.1,-1.131
-17.11,-56.7,-1.141
-17.25,-57.4,-1.15
-17.39,-57.4,-1.16
-17.54,-58,-1.169
-17.68,-58.6,-1.179
-17.82,-58.6,-1.188
-17.96,-59.3,-1.197
-18.1,-59.9,-1.207
-18.24,-60.5,-1.216
-18.38,-60.5,-1.225
-18.52,-61.1,-1.235
-18.66,-61.8,-1.244
-18.8,-62.4,-1.254
-18.94,-62.4,-1.263
-19.08,-63,-1.272
-19.23,-63.6,-1.282
-19.37,-64.3,-1.291
-19.51,-64.9,-1.301
-19.65,-65.5,-1.31
-19.79,-65.5,-1.319
-19.93,-66.1,-1.329
-20.07,-66.8,-1.338
-20.21,-67.4,-1.348
-20.35,-68,-1.357
-20.49,-68.7,-1.366
-20.64,-68.7,-1.376
-20.78,-69.3,-1.385
-20.92,-69.9,-1.394
-21.06,-69.9,-1.404
-21.2,-70.5,-1.413
-21.34,-71.2,-1.423
-21.48,-71.2,-1.432
-21.62,-71.8,-1.442
-21.76,-72.4,-1.451
-21.9,-73,-1.46
-22.04,-73,-1.47
-22.19,-73.7,-1.479
-22.33,-73.7,-1.488
-22.61,-74.9,-1.507
-22.61,-75.5,-1.507
-22.75,-75.5,-1.516
-22.89,-76.2,-1.526
-23.03,-76.8,-1.535
-23.17,-76.8,-1.545
-23.31,-77.4,-1.554
-23.45,-78.1,-1.564
-23.59,-78.1,-1.573
-23.74,-78.7,-1.582
-23.88,-79.3,-1.592
-24.02,-79.9,-1.601
-24.16,-80.6,-1.61
-24.3,-81.2,-1.62
-24.44,-81.2,-1.629
-24.58,-81.8,-1.639
-24.72,-82.4,-1.648
-24.86,-81.8,-1.657
-24.86,-77.4,-1.657
-24.72,-75.5,-1.648
-24.72,-73.7,-1.648
-24.58,-71.8,-1.639
-24.58,-70.5,-1.639
-24.44,-69.9,-1.629
-24.44,-68.7,-1.629
-24.3,-68,-1.62
-24.3,-66.1,-1.62
-24.16,-65.5,-1.61
-24.02,-64.9,-1.601
-24.02,-64.3,-1.601
-23.88,-63.6,-1.592
-23.88,-63,-1.592
-23.59,-61.8,-1.573
-23.59,-61.1,-1.573
-23.45,-60.5,-1.564
-23.31,-59.9,-1.554
-23.31,-59.3,-1.554
-23.17,-58.6,-1.545
-22.89,-57.4,-1.526
-22.89,-56.7,-1.526
-22.75,-56.1,-1.516
-22.61,-55.5,-1.507
-22.47,-54.9,-1.498
-22.33,-54.2,-1.488
-22.19,-53.6,-1.479
-21.9,-52.4,-1.46
-21.9,-51.7,-1.46
-21.76,-51.1,-1.451
-21.62,-50.5,-1.442
-21.48,-49.8,-1.432
-21.34,-49.2,-1.423
-21.2,-48.6,-1.413
-21.06,-48,-1.404
-20.92,-47.3,-1.394
-20.64,-46.1,-1.376
-20.64,-45.5,-1.376
-20.49,-44.8,-1.366
-20.35,-44.2,-1.357
-20.21,-43.6,-1.348
-20.07,-42.9,-1.338
-19.93,-42.3,-1.329
-19.79,-41.7,-1.319
-19.65,-41.1,-1.31
-19.51,-40.4,-1.301
-19.37,-39.8,-1.291
-19.23,-39.2,-1.282
-19.08,-38.6,-1.272
-18.94,-37.9,-1.263
-18.8,-37.3,-1.254
-18.66,-37.3,-1.244
-18.52,-36.7,-1.235
-18.38,-36,-1.225
-18.24,-35.4,-1.216
-18.1,-35.4,-1.207
-17.96,-34.8,-1.197
-17.82,-34.2,-1.188
-17.68,-34.2,-1.179
-17.54,-33.5,-1.169
-17.39,-32.9,-1.16
-17.25,-32.9,-1.15
-17.11,-32.3,-1.141
-16.97,-31.7,-1.131
-16.83,-31,-1.122
-16.69,-30.4,-1.113
-16.55,-30.4,-1.103
-16.41,-29.8,-1.094
-16.27,-29.2,-1.085
-16.13,-29.2,-1.075
-15.99,-28.5,-1.066
-15.85,-28.5,-1.056
-15.71,-27.9,-1.047
-15.57,-27.9,-1.038
-15.42,-27.3,-1.028
-15.28,-27.3,-1.019
-15.14,-27.3,-1.009
-15,-26.7,-1
-14.86,-26.7,-0.991
-14.72,-26.7,-0.981
-14.58,-26,-0.972
-14.44,-26,-0.962
-14.3,-25.4,-0.953
-14.16,-25.4,-0.944
-14.02,-24.8,-0.934
-13.88,-24.8,-0.925
-13.74,-24.8,-0.916
-13.59,-24.1,-0.906
-13.45,-23.5,-0.897
-13.31,-23.5,-0.887
-13.17,-22.9,-0.878
-13.03,-22.9,-0.869
-12.89,-22.3,-0.859
-12.75,-22.3,-0.85
-12.61,-21.6,-0.84
-12.47,-21.6,-0.831
-12.33,-21,-0.822
-12.19,-21,-0.812
-12.04,-20.4,-0.803
-11.9,-19.8,-0.794
-11.76,-19.8,-0.784
-11.62,-19.8,-0.775
-11.48,-19.1,-0.765
-11.34,-18.5,-0.756
-11.2,-18.5,-0.747
-11.06,-17.9,-0.737
-10.92,-17.2,-0.728
-10.78,-17.2,-0.718
-10.64,-16.6,-0.709
-10.49,-16.6,-0.7
-10.35,-16,-0.69
-10.21,-16,-0.681
-10.07,-15.4,-0.671
-9.93,-15.4,-0.662
-9.79,-14.7,-0.653
-9.65,-14.7,-0.643
-9.51,-14.1,-0.634
-9.37,-13.5,-0.624
-9.23,-13.5,-0.615
-9.08,-12.9,-0.606
-8.94,-12.9,-0.596
-8.8,-12.2,-0.587
-8.66,-12.2,-0.578
-8.52,-11.6,-0.568
-8.38,-11.6,-0.559
-8.24,-11,-0.549
-8.1,-11,-0.54
-7.96,-10.3,-0.531
-7.82,-9.7,-0.521
-7.68,-9.7,-0.512
-7.53,-9.1,-0.502
-7.39,-9.1,-0.493
-7.25,-8.5,-0.484
-7.11,-7.8,-0.474
-6.97,-7.8,-0.465
-6.83,-7.2,-0.455
-6.69,-6.6,-0.446
-6.55,-6.6,-0.437
-6.41,-6,-0.427
-6.27,-5.3,-0.418
-6.13,-5.3,-0.409
-5.99,-4.7,-0.399
-5.85,-4.1,-0.39
-5.7,-4.1,-0.38
-5.56,-3.4,-0.371
-5.42,-2.8,-0.361
-5.28,-2.8,-0.352
-5.14,-2.2,-0.343
-5,-1.6,-0.333
-4.86,-1.6,-0.324
-4.72,-0.9,-0.315
-4.58,-0.3,-0.305
-4.44,-0.3,-0.296
NaN,NaN,NaN
-4.14,0.1,-0.276
-4.3,0.3,-0.286
-4.16,0.9,-0.277
-4.02,0.9,-0.268
-3.88,1.6,-0.258
-3.73,2.2,-0.249
-3.59,2.2,-0.239
-3.45,2.8,-0.23
-3.31,3.4,-0.221
-3.17,4.1,-0.211
-3.03,4.1,-0.202
-2.89,4.7,-0.192
-2.75,5.3,-0.183
-2.61,5.3,-0.174
-2.47,6,-0.164
-2.33,6,-0.155
-2.19,6.6,-0.146
-2.04,7.2,-0.136
-1.9,7.2,-0.127
-1.76,7.8,-0.117
-1.62,8.5,-0.108
